Naive,32,0.475203,0.376086,0.670175
Transpose,32,0.266339,0.255548,0.352083
Shmem,32,0.199090,0.187043,0.281952
All_GPU,32,0.070624,0.037046,0.331975
Naive,48,0.492042,0.413772,0.615598
Transpose,48,0.287329,0.284258,0.302186
Shmem,48,0.186464,0.183740,0.201381
All_GPU,48,0.040937,0.039424,0.043524
Naive,64,0.544025,0.448955,0.676614
Transpose,64,0.281962,0.278995,0.294632
Shmem,64,0.212505,0.209256,0.226512
All_GPU,64,0.070588,0.069002,0.073104
Naive,128,0.551812,0.450638,0.671047
Transpose,128,0.282410,0.278982,0.296914
Shmem,128,0.221033,0.217290,0.235082
All_GPU,128,0.082046,0.080596,0.083865
Naive,238,0.533401,0.439774,0.647306
Transpose,238,0.282944,0.279147,0.298022
Shmem,238,0.235967,0.232627,0.249656
All_GPU,238,0.097334,0.095909,0.098831
Naive,512,0.542557,0.446376,0.668755
Transpose,512,0.284010,0.278623,0.313362
Shmem,512,0.223299,0.218847,0.239562
All_GPU,512,0.082585,0.081137,0.084890
Naive,1024,0.645020,0.547164,0.736953
Transpose,1024,0.282705,0.278620,0.298112
Shmem,1024,0.221771,0.218590,0.237787
All_GPU,1024,0.082611,0.081194,0.084419
